nazev	obalky,N,9,0	platne_hla,N,19,11	platne_hlasy	KSCM,N,9,0	CSSD,N,9,0	Koal_TOP09,N,9,0	KDU_CSL,N,9,0	Pirati,N,9,0	ANO_2011,N,9,0	ODS,N,9,0	SZ,N,9,0	Svobodni,N,9,0	Usvit,N,9,0	Ostatni	M,N,9,0	VIZE,N,9,0	CSR,N,9,0	Koal__SP_a,N,9,0	RDS,N,9,0	KSC,N,9,0	PB,N,9,0	ABS,N,9,0	Koal_DSSS_,N,9,0	KAN,N,9,0	HSS,N,9,0	Republika,N,9,0	CS,N,9,0	KC,N,9,0	ANEO,N,9,0	CSNS,N,9,0	O_K_strana,N,9,0	VV,N,9,0	OBC_2011,N,9,0	ND,N,9,0	SRP,N,9,0	Rozumni,N,9,0	HNPD,N,9,0	LES,N,9,0	RSCMS,N,9,0	evropani,N,9,0	SNK_ED,N,9,0	LEV_21,N,9,0	ucast_prc,N,19,11	mimo_byty_,N,19,11	verici_prc,N,19,11	vek_prumer,N,19,11	vek_prum_1,N,19,11	vdani_prc,N,19,11	vzdelani_z,N,19,11	vzdelani_s,N,19,11	vzdelani_m,N,19,11	vzdelani_v,N,19,11	prace_stud,N,19,11	nezamestna,N,19,11	studenti_p,N,19,11	mira_nez_1,N,19,11	zamestna_1,N,19,11	podnikatel,N,19,11	osvc_prc,N,19,11
Želechovice nad Dřevnicí	322	99,69000000000	321	12	43	36	74	14	66	17	5	23	14	17	2	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	3	0	0	0	3	0	0	0	0	0	3	19,73000000000	0,57600000000	28,10000000000	42,78500000000	41,31800000000	48,92700000000	0,20900000000	31,71100000000	23,91400000000	9,52400000000	0,57600000000	0,57600000000	14,91400000000	3,97700000000	76,21951219510	5,73170731707	18,04878048780
Petrov nad Desnou	127	97,64000000000	124	14	25	22	13	6	12	6	1	8	5	12	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	2	0	3	0	0	0	0	0	1	12,95000000000	0,58600000000	13,97500000000	42,82900000000	40,54600000000	43,09600000000	0,58600000000	33,38900000000	19,24700000000	4,35100000000	0,41800000000	0,92100000000	13,72400000000	7,19700000000	82,25806451610	2,99539170507	14,74654377880
Libhošť	243	100,00000000000	243	33	65	11	40	5	46	23	6	1	8	5	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	18,34000000000	0,00000000000	18,45400000000	41,11600000000	39,86300000000	47,82300000000	0,19500000000	35,21800000000	21,89700000000	7,08300000000	0,58500000000	0,84500000000	15,78900000000	4,22400000000	84,37978560490	4,59418070444	11,02603369070
Veřovice	252	99,60000000000	251	23	63	16	58	13	37	15	6	4	5	11	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	2	0	2	0	0	0	1	15,41000000000	0,97300000000	28,41800000000	40,73700000000	39,66200000000	44,70000000000	0,25600000000	33,28200000000	23,24600000000	7,47600000000	0,51200000000	0,56300000000	17,76800000000	3,73800000000	85,40145985400	3,40632603406	11,19221411190
Vřesina	484	98,97000000000	479	36	90	52	102	25	55	55	17	15	8	24	0	1	0	0	0	0	3	0	2	0	0	0	3	0	0	0	0	0	0	2	0	4	0	6	0	0	3	0	21,08000000000	0,40800000000	20,01500000000	41,94700000000	40,96500000000	51,98700000000	0,33400000000	25,13900000000	22,65100000000	17,15600000000	0,63100000000	0,74300000000	16,30200000000	3,82500000000	80,57040998220	6,23885918004	13,19073083780
Olomouc	15474	99,37000000000	15359	1387	2316	2406	1608	783	2610	1158	682	770	428	1211	83	39	10	16	4	60	70	9	47	44	20	44	18	48	10	1	31	74	10	97	1	176	6	85	71	3	52	82	19,04000000000	0,62600000000	14,87500000000	41,17600000000	39,49500000000	39,52400000000	0,24300000000	22,94100000000	26,23900000000	17,86800000000	0,84700000000	0,82700000000	13,92200000000	5,09100000000	83,83894963260	3,92991575551	12,23113461190
Bělkovice-Lašťany	211	98,10000000000	207	28	36	24	23	4	34	12	8	9	14	15	0	1	0	1	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	2	1	12,26000000000	1,14200000000	14,04100000000	39,22500000000	37,56800000000	45,78800000000	0,14300000000	34,36500000000	21,37100000000	7,13900000000	0,61900000000	0,47600000000	15,56400000000	4,76000000000	78,87168141590	4,53539823009	16,59292035400
Bílá Lhota	135	99,26000000000	134	18	21	9	24	8	22	4	1	1	9	17	4	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	5	0	1	0	0	0	1	14,53000000000	0,64800000000	19,35200000000	42,09100000000	40,35000000000	49,35200000000	0,27800000000	37,31500000000	17,13000000000	6,38900000000	0,92600000000	0,55600000000	13,42600000000	4,72200000000	87,69230769230	2,41758241758	9,89010989011
Blatec	74	100,00000000000	74	12	10	8	10	1	10	3	2	2	8	8	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	15,26000000000	0,50300000000	19,26300000000	40,43500000000	39,82600000000	47,90600000000	0,16800000000	35,17600000000	20,26800000000	6,86800000000	0,50300000000	0,16800000000	14,90800000000	3,85300000000	85,43307086610	1,57480314961	12,99212598430
Bohuňovice	301	99,67000000000	300	30	28	40	50	7	63	13	17	12	15	25	1	2	0	1	1	1	1	0	2	0	1	0	3	0	0	0	0	2	0	0	0	2	0	0	3	1	0	4	14,46000000000	0,35900000000	17,35100000000	39,95300000000	39,14600000000	47,06800000000	0,12000000000	27,32300000000	25,88800000000	11,60700000000	0,31900000000	0,75800000000	16,63300000000	4,26800000000	85,76544315130	3,58102059087	10,65353625780
Bouzov	223	98,65000000000	220	24	36	25	36	7	32	5	8	13	3	31	3	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	0	1	0	0	0	11	1	2	1	0	1	1	17,31000000000	1,13300000000	19,45400000000	41,61800000000	39,36300000000	45,03700000000	0,13300000000	34,31000000000	21,58600000000	9,06100000000	0,33300000000	1,06600000000	14,79000000000	6,19600000000	82,68608414240	3,07443365696	14,23948220060
Bystročice	101	100,00000000000	101	18	15	9	2	4	23	15	1	1	7	6	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16,72000000000	0,27000000000	10,54100000000	39,48600000000	38,71700000000	43,64900000000	0,27000000000	32,56800000000	21,75700000000	7,02700000000	0,40500000000	0,94600000000	13,64900000000	4,59500000000	79,23322683710	4,79233226837	15,97444089460
Dlouhá Loučka	220	99,09000000000	218	44	36	19	17	6	25	21	6	8	9	27	9	1	1	0	0	2	1	0	2	0	2	0	0	0	0	0	0	2	0	0	0	5	0	0	0	1	0	1	13,90000000000	0,58900000000	10,49300000000	40,35200000000	39,09100000000	44,70000000000	0,58900000000	33,88700000000	19,32500000000	6,21000000000	0,53500000000	1,44500000000	15,20300000000	5,99600000000	85,18005540170	2,21606648199	12,60387811630
Dolany	391	100,00000000000	391	31	51	66	35	31	70	25	12	17	16	37	6	0	0	0	0	3	5	3	1	1	1	0	1	1	0	0	0	1	0	3	0	3	0	1	3	0	0	4	19,02000000000	1,86500000000	15,15900000000	38,89600000000	37,98100000000	47,57900000000	0,19800000000	26,07100000000	21,11100000000	13,61100000000	0,55600000000	0,55600000000	16,38900000000	3,37300000000	78,85662431940	5,44464609800	15,69872958260
Drahanovice	233	99,14000000000	231	37	43	20	33	10	31	16	6	8	14	13	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	1	1	0	2	16,52000000000	1,47400000000	18,85700000000	41,67000000000	39,96300000000	47,11300000000	0,00000000000	37,46900000000	20,70000000000	5,52800000000	0,49100000000	0,43000000000	15,90900000000	5,46700000000	85,23878437050	3,76266280753	10,99855282200
Dub nad Moravou	179	100,00000000000	179	19	32	8	36	5	31	7	6	6	7	22	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	2	2	1	0	0	5	0	0	0	0	3	4	14,32000000000	0,19800000000	15,71000000000	40,14100000000	38,75700000000	48,77900000000	0,26400000000	34,45500000000	21,98000000000	6,93100000000	0,39600000000	0,99000000000	15,71000000000	5,74300000000	83,71710526320	2,30263157895	13,98026315790
Grygov	143	100,00000000000	143	13	25	23	12	11	27	5	6	7	7	7	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	11,86000000000	0,35500000000	15,62500000000	41,12700000000	38,82800000000	46,73300000000	0,21300000000	31,32100000000	23,29500000000	9,02000000000	0,42600000000	0,49700000000	12,64200000000	3,55100000000	83,30632090760	4,86223662885	11,83144246350
Hlubočky	448	99,33000000000	445	69	104	34	41	23	60	26	14	15	14	45	2	1	1	1	0	7	5	0	1	4	0	0	0	1	0	0	0	0	0	0	0	11	0	2	3	0	2	4	12,62000000000	3,37500000000	10,73100000000	41,98200000000	40,56800000000	42,63200000000	0,48600000000	34,08600000000	20,53900000000	5,87500000000	0,58300000000	0,72800000000	13,54700000000	5,05000000000	91,20943952800	1,76991150442	7,02064896755
Hněvotín	179	100,00000000000	179	13	22	19	14	8	33	21	9	11	4	25	1	0	1	1	0	3	1	0	0	0	0	0	0	4	0	0	0	2	1	1	0	8	0	0	0	0	1	1	13,82000000000	0,25600000000	12,86000000000	37,92200000000	37,85000000000	45,36100000000	0,44800000000	29,43100000000	20,21800000000	11,19600000000	0,57600000000	0,70400000000	17,33800000000	4,09500000000	83,50071736010	5,16499282640	11,33428981350
Hnojice	80	100,00000000000	80	0	4	11	18	4	13	5	3	8	8	6	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	16,16000000000	0,34500000000	18,79300000000	39,39800000000	37,39900000000	40,69000000000	1,03400000000	33,27600000000	19,65500000000	5,34500000000	0,69000000000	1,20700000000	15,17200000000	7,93100000000	80,64516129030	5,52995391705	13,82488479260
Horka nad Moravou	278	98,20000000000	273	30	42	26	39	8	64	13	10	5	15	21	3	0	0	0	0	3	0	0	0	1	0	0	3	0	0	0	0	4	0	2	0	3	0	0	0	0	1	1	14,57000000000	0,17100000000	12,92800000000	40,74800000000	39,06300000000	45,54800000000	0,17100000000	31,03600000000	24,40100000000	8,64700000000	0,81300000000	0,81300000000	13,27100000000	6,76400000000	83,73305526590	4,27528675704	11,99165797710
Cholina	122	99,18000000000	121	19	16	6	24	3	14	8	3	10	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	2	0	0	1	0	20,20000000000	1,69300000000	25,24700000000	40,71700000000	39,87200000000	46,82700000000	0,42300000000	33,00400000000	21,58000000000	7,61600000000	0,28200000000	0,70500000000	14,95100000000	5,92400000000	79,28571428570	3,92857142857	16,78571428570
Jívová	68	98,53000000000	67	12	15	16	3	4	4	3	5	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14,41000000000	2,13100000000	10,30200000000	39,44100000000	39,46900000000	42,45100000000	0,53300000000	39,07600000000	15,98600000000	4,44000000000	0,71000000000	0,35500000000	13,32100000000	5,50600000000	82,11009174310	3,66972477064	14,22018348620
Kožušany-Tážaly	136	100,00000000000	136	20	15	14	27	7	17	8	9	3	6	10	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	2	0	19,85000000000	0,36500000000	22,38400000000	40,78900000000	40,36100000000	49,14800000000	0,48700000000	31,02200000000	22,87100000000	8,39400000000	0,60800000000	0,60800000000	14,47700000000	4,50100000000	81,25000000000	3,86904761905	14,88095238100
Žitovlice	16	100,00000000000	16	1	5	2	1	0	4	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11,03000000000	0,00000000000	12,64400000000	46,83500000000	43,71400000000	42,52900000000	0,57500000000	37,93100000000	16,09200000000	5,17200000000	0,57500000000	0,00000000000	6,89700000000	4,59800000000	91,22807017540	1,75438596491	7,01754385965
Litovel	1250	99,36000000000	1241	191	233	116	144	52	203	78	24	34	65	101	17	1	3	2	1	13	8	0	6	4	1	1	0	3	1	0	0	3	0	3	0	15	0	1	6	0	5	7	15,43000000000	0,60700000000	15,57800000000	41,41200000000	40,12800000000	43,72900000000	0,34000000000	32,14300000000	23,74700000000	8,32400000000	0,55600000000	0,72000000000	14,98100000000	5,11400000000	84,63035019460	3,28307392996	12,08657587550
Luká	115	99,13000000000	114	20	14	12	31	3	15	4	0	8	1	6	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	16,67000000000	0,37500000000	23,37500000000	43,60600000000	41,41800000000	45,50000000000	0,62500000000	34,62500000000	20,62500000000	7,37500000000	0,50000000000	0,50000000000	13,62500000000	5,75000000000	86,33333333330	2,00000000000	11,66666666670
Lutín	405	99,26000000000	402	45	94	45	40	12	67	23	21	9	23	23	2	0	1	0	0	6	1	0	1	0	0	0	0	0	0	0	0	1	0	2	0	7	0	0	2	0	0	0	15,35000000000	0,25800000000	15,82300000000	39,89700000000	39,05100000000	44,05400000000	0,19300000000	31,64700000000	24,29900000000	9,28100000000	0,48300000000	0,51600000000	14,95300000000	4,35100000000	90,91549295770	1,76056338028	7,32394366197
Majetín	148	100,00000000000	148	12	26	8	22	24	17	5	4	7	12	11	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	2	0	0	0	15,56000000000	0,63600000000	15,27300000000	39,30700000000	37,77900000000	46,09100000000	0,36400000000	31,81800000000	24,27300000000	6,90900000000	0,27300000000	0,54500000000	16,90900000000	4,36400000000	84,68085106380	2,34042553191	12,97872340430
Kostelec	77	100,00000000000	77	35	7	11	2	0	8	0	0	1	7	6	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	18,08000000000	3,07400000000	2,25400000000	38,08800000000	36,99200000000	32,99200000000	0,61500000000	31,35200000000	14,95900000000	3,07400000000	0,82000000000	1,43400000000	11,68000000000	7,99200000000	88,71794871790	2,56410256410	8,71794871795
Libavá	129	98,45000000000	127	17	28	12	6	6	20	3	3	1	11	20	0	1	0	2	0	2	1	0	0	1	0	0	1	0	0	0	1	2	0	0	0	6	0	0	0	0	1	2	15,73000000000	0,29600000000	6,91700000000	35,52100000000	34,26200000000	33,99200000000	0,39500000000	33,00400000000	19,07100000000	3,55700000000	0,19800000000	0,98800000000	19,46600000000	9,28900000000	93,76498800960	0,00000000000	6,23501199041
Mladeč	77	100,00000000000	77	13	16	13	7	6	9	2	0	2	5	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	12,09000000000	2,18000000000	16,75700000000	42,41300000000	42,39200000000	38,28300000000	0,40900000000	30,38100000000	17,84700000000	4,76800000000	0,54500000000	1,77100000000	14,71400000000	6,26700000000	85,60311284050	3,11284046693	11,28404669260
Dřenice	42	100,00000000000	42	6	6	5	5	0	11	0	1	0	0	8	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	14,69000000000	1,39300000000	7,52100000000	39,55600000000	39,42900000000	48,18900000000	0,55700000000	36,76900000000	16,99200000000	6,96400000000	0,83600000000	0,83600000000	14,76300000000	6,12800000000	82,78145695360	3,97350993377	13,24503311260
Náklo	228	99,56000000000	227	43	32	31	46	4	34	6	0	7	7	17	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	3	0	3	0	3	2	0	0	0	0	0	18,92000000000	0,06900000000	17,59800000000	39,76100000000	38,41500000000	47,27400000000	0,82800000000	32,02200000000	20,35900000000	7,45300000000	0,55200000000	0,69000000000	15,04500000000	5,38300000000	85,43516873890	2,48667850799	12,07815275310
Náměšť na Hané	270	99,63000000000	269	32	30	31	48	19	43	25	10	9	6	16	2	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	2	0	0	2	0	0	0	16,30000000000	0,76500000000	23,50800000000	42,36800000000	40,04300000000	46,35400000000	0,15300000000	34,52300000000	22,54000000000	8,72000000000	0,66300000000	0,66300000000	14,38000000000	4,53900000000	83,31318016930	3,38573155985	13,30108827090
Paseka	127	100,00000000000	127	10	25	13	18	10	14	4	3	3	9	18	3	0	2	1	0	0	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	1	0	0	1	12,38000000000	1,52900000000	12,71100000000	38,66400000000	37,23100000000	40,86900000000	0,08000000000	32,58200000000	20,27400000000	4,34400000000	0,48300000000	0,72400000000	15,68800000000	5,79200000000	84,49612403100	3,48837209302	12,01550387600
Lány	43	100,00000000000	43	1	5	12	2	1	9	2	2	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	20,67000000000	0,00000000000	11,15700000000	38,26600000000	37,90900000000	44,21500000000	0,00000000000	34,71100000000	16,52900000000	5,37200000000	0,41300000000	0,41300000000	16,94200000000	2,89300000000	84,09090909090	2,27272727273	13,63636363640
Třibřichy	58	98,28000000000	57	4	13	6	5	2	12	1	1	4	2	7	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	23,77000000000	0,00000000000	9,48900000000	43,07400000000	41,86000000000	50,73000000000	0,00000000000	38,68600000000	20,43800000000	4,74500000000	0,73000000000	0,36500000000	15,32800000000	3,65000000000	86,20689655170	1,72413793103	12,06896551720
Dvakačovice	32	96,88000000000	31	1	5	2	2	0	7	3	1	2	3	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	23,88000000000	0,00000000000	13,33300000000	42,95500000000	41,91800000000	44,24200000000	0,60600000000	33,33300000000	24,24200000000	6,66700000000	0,60600000000	1,81800000000	9,69700000000	6,66700000000	67,69230769230	9,23076923077	23,07692307690
Bítovany	66	100,00000000000	66	14	8	8	5	2	8	7	2	5	2	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	19,08000000000	0,96900000000	12,34900000000	41,80300000000	40,03100000000	50,36300000000	0,48400000000	38,49900000000	24,21300000000	6,53800000000	0,24200000000	0,24200000000	13,31700000000	4,11600000000	82,03592814370	4,79041916168	13,17365269460
Příkazy	168	98,81000000000	166	25	36	18	12	6	33	6	3	1	12	14	1	1	1	4	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	16,28000000000	0,90800000000	13,62500000000	41,20900000000	39,39000000000	43,93100000000	0,33000000000	33,69100000000	21,71800000000	7,92700000000	0,74300000000	0,74300000000	14,53300000000	4,87200000000	85,88709677420	3,02419354839	11,08870967740
Dolní Bezděkov	25	100,00000000000	25	6	2	2	1	2	3	1	1	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	17,36000000000	0,53500000000	8,55600000000	40,17400000000	40,06700000000	48,12800000000	0,53500000000	42,78100000000	14,97300000000	2,67400000000	0,53500000000	0,53500000000	19,25100000000	3,74300000000	78,37837837840	1,35135135135	20,27027027030
Senice na Hané	303	99,01000000000	300	55	40	43	54	7	44	15	6	3	7	26	2	1	1	2	0	6	2	0	0	0	0	0	0	1	0	0	1	2	0	2	0	3	0	0	1	0	1	1	20,20000000000	0,28200000000	26,49400000000	41,53900000000	40,45000000000	49,15400000000	0,11300000000	37,48600000000	20,97000000000	5,97500000000	0,56400000000	0,73300000000	16,51600000000	4,67900000000	86,19302949060	3,48525469169	10,32171581770
Červená Hora	35	100,00000000000	35	0	3	9	9	1	7	2	2	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22,58000000000	3,80400000000	20,10900000000	41,02200000000	39,40200000000	49,45700000000	0,54300000000	41,84800000000	14,13000000000	6,52200000000	0,00000000000	0,00000000000	15,76100000000	5,43500000000	79,72972972970	0,00000000000	20,27027027030
Slatinice	213	100,00000000000	213	22	42	17	22	7	35	18	5	10	9	26	5	0	0	1	0	4	1	0	0	1	0	1	1	1	1	0	0	2	0	2	0	2	0	0	0	1	2	1	16,68000000000	0,46100000000	18,19400000000	41,68900000000	39,95700000000	46,73700000000	0,26400000000	32,16900000000	24,19200000000	10,61300000000	0,92300000000	0,46100000000	14,56800000000	3,88900000000	84,00000000000	4,44444444444	11,55555555560
Březová nad Svitavou	128	96,09000000000	123	17	27	11	9	6	25	11	5	4	3	5	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	9,69000000000	0,29600000000	11,59100000000	36,70000000000	35,32400000000	42,10500000000	0,23700000000	32,93900000000	20,16600000000	4,84900000000	0,47300000000	0,88700000000	17,03100000000	6,62300000000	86,32750397460	3,65659777424	10,01589825120
Štěpánov	371	99,46000000000	369	40	63	33	66	17	58	11	13	14	12	42	4	1	0	0	0	4	1	0	0	0	3	2	0	0	0	0	0	2	0	2	0	12	0	2	2	0	6	1	13,26000000000	0,24400000000	14,78300000000	40,75000000000	39,76700000000	45,17400000000	0,48900000000	32,92600000000	22,14400000000	6,90300000000	0,51900000000	1,03800000000	14,87500000000	5,68100000000	86,51766402310	2,73972602740	10,74260994950
Šternberk	1632	99,26000000000	1620	190	329	155	180	70	258	108	43	72	95	120	8	2	1	2	1	5	12	0	15	1	2	2	4	1	0	0	4	6	0	10	0	22	0	7	2	2	4	7	14,55000000000	1,06100000000	12,30300000000	42,22000000000	40,58500000000	41,81500000000	1,39200000000	29,04100000000	23,17700000000	9,35600000000	0,54500000000	0,70700000000	13,67300000000	4,87000000000	83,50889938250	3,28732292045	13,20377769710
Šumvald	166	97,58000000000	161	29	24	13	16	5	28	23	2	2	6	13	6	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	11,86000000000	0,12000000000	14,36300000000	40,72100000000	39,47800000000	46,93500000000	0,18000000000	35,57700000000	20,97400000000	6,07000000000	0,54100000000	0,72100000000	15,38500000000	5,70900000000	89,22610015170	2,57966616085	8,19423368741
Těšetice	198	97,98000000000	194	10	17	23	58	10	28	16	3	16	5	8	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	18,32000000000	0,38000000000	23,53800000000	40,32700000000	39,88400000000	45,63400000000	0,60700000000	30,60000000000	23,00700000000	9,41500000000	0,30400000000	1,06300000000	15,18600000000	4,32800000000	86,69131238450	3,51201478743	9,79667282810
Troubelice	286	99,30000000000	284	41	41	24	43	16	52	20	2	6	15	24	5	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	3	0	1	1	7	0	1	1	0	0	0	18,69000000000	0,38000000000	17,55400000000	39,86200000000	38,64300000000	46,68500000000	0,59800000000	34,02200000000	20,70700000000	6,57600000000	0,54300000000	0,81500000000	16,79300000000	5,43500000000	84,54301075270	2,28494623656	13,17204301080
Tršice	214	97,66000000000	209	21	42	16	32	9	43	8	8	8	8	14	0	0	1	1	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	4	1	0	0	0	2	0	16,01000000000	1,01500000000	19,16200000000	40,53100000000	38,74700000000	46,51000000000	0,25400000000	30,14000000000	24,93700000000	8,12200000000	0,57100000000	0,69800000000	14,65700000000	4,94900000000	84,00000000000	4,00000000000	12,00000000000
Bělá u Jevíčka	68	98,53000000000	67	13	22	8	4	0	12	1	0	0	0	7	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	22,67000000000	0,00000000000	17,74600000000	44,38400000000	42,78200000000	46,76100000000	0,28200000000	42,25400000000	20,84500000000	3,09900000000	0,00000000000	0,56300000000	7,88700000000	5,91500000000	86,30136986300	2,05479452055	11,64383561640
Újezd	157	100,00000000000	157	22	41	9	16	5	38	1	5	3	8	9	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	13,94000000000	0,37300000000	13,87000000000	40,79900000000	39,44200000000	44,66800000000	0,89500000000	34,07900000000	16,85300000000	3,87800000000	0,29800000000	0,44700000000	14,54100000000	4,47400000000	87,91666666670	3,12500000000	8,95833333333
Jenčice	88	97,73000000000	86	5	6	9	5	4	36	6	4	4	0	7	0	0	0	0	0	2	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30,66000000000	0,00000000000	6,60700000000	42,86000000000	41,95100000000	46,54700000000	0,90100000000	30,33000000000	23,12300000000	6,60700000000	0,60100000000	0,60100000000	13,51400000000	4,80500000000	79,02097902100	7,69230769231	13,28671328670
Uničov	1515	99,21000000000	1503	195	345	123	157	67	235	135	36	57	51	102	12	0	0	5	1	11	10	0	6	0	3	3	1	0	1	0	2	3	1	4	0	23	1	4	1	0	4	6	15,61000000000	0,66900000000	12,18800000000	41,54300000000	39,85900000000	42,86000000000	0,28300000000	30,89500000000	23,71600000000	7,43600000000	0,45500000000	1,02100000000	14,48700000000	6,42400000000	84,93269648280	3,66912722536	11,39817629180
Velká Bystřice	748	97,72000000000	730	60	83	95	88	31	142	47	58	22	34	70	5	3	0	0	1	2	6	0	4	2	1	3	0	3	0	1	1	2	1	2	0	16	0	4	2	1	6	4	29,71000000000	0,39300000000	16,18100000000	39,88300000000	38,49700000000	45,36500000000	0,19700000000	26,40000000000	26,23600000000	12,90500000000	0,45900000000	1,01500000000	14,93600000000	4,52000000000	81,16261957320	5,29801324503	13,53936718180
Velký Týnec	345	99,42000000000	343	27	58	23	60	29	69	7	15	12	11	32	6	0	1	0	0	3	6	0	0	2	1	0	4	0	0	0	0	0	0	3	0	3	0	0	2	0	0	1	15,85000000000	0,82000000000	18,28100000000	38,25200000000	37,16000000000	46,64100000000	0,46900000000	30,23400000000	22,93000000000	9,25800000000	0,89800000000	0,82000000000	15,27300000000	4,49200000000	83,92226148410	4,15194346290	11,92579505300
Velký Újezd	130	98,46000000000	128	11	17	17	12	5	32	8	3	3	7	13	4	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	12,72000000000	0,69800000000	13,10100000000	39,74100000000	37,64300000000	45,11600000000	0,31000000000	30,38800000000	23,72100000000	10,23300000000	0,69800000000	0,23300000000	15,73600000000	4,10900000000	84,92201039860	4,15944540728	10,91854419410
Zápy	123	99,18000000000	121	9	12	28	5	3	24	10	3	4	4	19	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	1	1	2	0	2	0	5	0	1	0	0	2	0	23,30000000000	2,39800000000	6,59500000000	39,12200000000	37,79000000000	45,32400000000	0,60000000000	29,25700000000	21,10300000000	5,27600000000	0,36000000000	0,48000000000	12,59000000000	2,75800000000	81,47058823530	2,94117647059	15,58823529410
Žerotín	71	100,00000000000	71	7	13	6	25	1	2	1	0	4	4	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	19,56000000000	0,00000000000	29,33000000000	41,08000000000	39,27000000000	45,26600000000	0,00000000000	33,02500000000	28,17600000000	5,77400000000	0,46200000000	0,46200000000	15,47300000000	3,23300000000	83,41968911920	2,07253886010	14,50777202070
