nazev	obalky,N,9,0	platne_hla,N,19,11	platne_hlasy	KSCM,N,9,0	CSSD,N,9,0	Koal_TOP09,N,9,0	KDU_CSL,N,9,0	Pirati,N,9,0	ANO_2011,N,9,0	ODS,N,9,0	SZ,N,9,0	Svobodni,N,9,0	Usvit,N,9,0	Ostatni	M,N,9,0	VIZE,N,9,0	CSR,N,9,0	Koal__SP_a,N,9,0	RDS,N,9,0	KSC,N,9,0	PB,N,9,0	ABS,N,9,0	Koal_DSSS_,N,9,0	KAN,N,9,0	HSS,N,9,0	Republika,N,9,0	CS,N,9,0	KC,N,9,0	ANEO,N,9,0	CSNS,N,9,0	O_K_strana,N,9,0	VV,N,9,0	OBC_2011,N,9,0	ND,N,9,0	SRP,N,9,0	Rozumni,N,9,0	HNPD,N,9,0	LES,N,9,0	RSCMS,N,9,0	evropani,N,9,0	SNK_ED,N,9,0	LEV_21,N,9,0	ucast_prc,N,19,11	mimo_byty_,N,19,11	verici_prc,N,19,11	vek_prumer,N,19,11	vek_prum_1,N,19,11	vdani_prc,N,19,11	vzdelani_z,N,19,11	vzdelani_s,N,19,11	vzdelani_m,N,19,11	vzdelani_v,N,19,11	prace_stud,N,19,11	nezamestna,N,19,11	studenti_p,N,19,11	mira_nez_1,N,19,11	zamestna_1,N,19,11	podnikatel,N,19,11	osvc_prc,N,19,11
Vejprnice	627	99,36000000000	623	67	55	163	11	27	85	121	9	29	14	42	0	1	1	0	0	1	2	0	1	0	0	0	1	2	1	2	2	2	0	9	0	7	1	3	0	0	3	3	21,41000000000	1,10000000000	5,21700000000	36,59900000000	36,13800000000	44,11800000000	0,12800000000	25,98500000000	23,42700000000	11,91800000000	0,46000000000	0,33200000000	15,37100000000	2,73700000000	82,62061403510	3,89254385965	13,48684210530
Vochov	125	100,00000000000	125	12	14	26	4	5	25	6	4	12	11	6	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	20,56000000000	0,00000000000	4,75500000000	40,51900000000	39,90000000000	44,57700000000	0,00000000000	31,20400000000	25,40900000000	7,28100000000	0,89200000000	0,29700000000	12,18400000000	4,01200000000	85,40372670810	4,65838509317	9,93788819876
Všeruby	154	99,35000000000	153	28	25	42	4	6	20	4	0	7	2	15	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	3	2	0	1	0	3	0	0	0	0	1	0	15,23000000000	1,46700000000	6,43800000000	37,24500000000	36,18700000000	41,23900000000	0,40700000000	33,82200000000	17,52200000000	5,62300000000	0,89600000000	0,40700000000	14,67000000000	4,48200000000	82,67148014440	5,41516245487	11,91335740070
Zbůch	222	98,20000000000	218	30	30	37	2	13	39	18	3	12	2	32	0	1	0	0	0	3	3	1	0	0	0	0	2	0	0	0	2	11	1	0	0	4	1	0	0	0	2	1	12,87000000000	0,97500000000	4,12100000000	39,56800000000	38,32100000000	43,59800000000	0,53200000000	30,92600000000	16,92500000000	4,07600000000	0,53200000000	0,53200000000	14,26700000000	3,32300000000	86,91275167790	2,68456375839	10,40268456380
Zruč-Senec	506	99,80000000000	505	57	47	134	16	30	110	30	13	30	12	26	0	1	1	1	0	0	3	0	1	0	0	1	1	0	0	0	3	0	0	0	2	8	1	0	0	0	1	2	20,32000000000	1,16700000000	5,53500000000	40,56500000000	39,72800000000	50,61700000000	0,10000000000	25,57500000000	25,64200000000	14,17100000000	0,80000000000	0,36700000000	15,83900000000	2,86800000000	77,58496023140	6,94143167028	15,47360809830
Žihle	188	100,00000000000	188	24	34	36	2	8	33	17	0	6	5	23	0	1	1	1	0	6	1	0	1	0	0	0	0	0	0	0	0	1	0	4	1	6	0	0	0	0	0	0	16,56000000000	0,78400000000	8,05400000000	40,66100000000	38,75500000000	43,33600000000	0,28500000000	31,57500000000	18,46000000000	4,91800000000	0,92700000000	1,35400000000	15,46700000000	5,84500000000	85,60885608860	2,21402214022	12,17712177120
Žilov	67	100,00000000000	67	10	13	20	4	2	8	1	1	3	0	5	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	19,48000000000	1,63900000000	7,49400000000	39,25100000000	37,70600000000	46,83800000000	0,00000000000	28,57100000000	24,35600000000	10,53900000000	1,17100000000	0,70300000000	13,34900000000	3,98100000000	81,40703517590	5,02512562814	13,56783919600
Rokycany	1900	99,31000000000	1884	276	213	468	86	73	295	124	49	99	42	159	0	4	1	4	6	9	17	0	11	8	2	5	2	4	2	2	3	7	1	6	3	27	0	15	0	1	4	15	17,07000000000	1,09400000000	7,63500000000	41,61700000000	40,08500000000	41,55400000000	0,30700000000	27,29300000000	25,59200000000	10,55100000000	0,70800000000	0,73600000000	12,48100000000	3,77400000000	84,83306836250	3,60890302067	11,55802861690
Břasy	272	98,90000000000	269	48	39	77	5	6	40	12	5	11	12	14	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	4	0	0	1	0	2	0	15,09000000000	0,65100000000	6,78800000000	42,96900000000	41,21900000000	43,84000000000	0,13900000000	36,35500000000	22,68700000000	5,34600000000	0,41800000000	0,65100000000	11,29700000000	3,67300000000	84,78260869570	2,06521739130	13,15217391300
Březina	36	100,00000000000	36	4	0	5	1	1	9	4	0	4	1	7	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	1	0	0	0	0	12,77000000000	1,22300000000	3,67000000000	41,93700000000	41,61600000000	52,90500000000	0,30600000000	37,30900000000	23,85300000000	6,11600000000	0,30600000000	0,61200000000	14,37300000000	3,97600000000	80,82191780820	0,68493150685	18,49315068490
