KSCM	CSSD	TOP	KDU	Pirati	ANO	ODS	SZ	Svob	Usvit	Ostatni	Nevolici	mimo_byty	verici	vek_prumer	vdani	vzdelani_zakladni	vzdelani_stredni	vzdelani_maturita	vzdelani_vysoka	prac_studenti	nikdy_nezamestnani	studenti	nezamestnani	zamestnani	podnikatele	osvc
7	16	14	1	7	19	23	5	7	7	9	536	1.42	3.409	38.583	46.449	0.284	29.261	26.847	6.392	0.568	0	12.926	1.563	84.161	4.037	11.801
6	7	2	4	4	8	4	0	0	4	3	197	0	9.705	42.146	44.304	0	35.443	25.316	4.641	0.422	0.422	13.924	6.751	88.043	2.174	9.783
3	3	1	2	1	9	1	1	5	0	0	140	0	18.012	49.488	44.72	0	31.677	17.391	8.696	0	0.621	13.665	3.727	86.207	3.448	10.345
9	7	20	2	4	17	6	8	4	3	10	528	0.578	3.468	36.844	45.52	0	27.023	21.387	10.549	0.578	0.578	13.728	2.168	83.607	3.934	12.459
7	0	2	5	0	5	0	0	0	0	8	73	0	13.043	45.357	48.913	1.087	39.13	17.391	10.87	1.087	0	13.043	2.174	80.952	2.381	16.667
5	11	17	2	2	14	1	3	2	0	6	322	0	6.045	39.593	40.554	0.756	34.257	18.892	6.297	0.756	0.504	15.365	3.023	88.068	2.841	9.091
1	3	6	6	2	10	0	0	0	2	2	117	0	19.231	40.7	40	0.769	41.538	20.769	4.615	0	0	18.462	4.615	86.207	3.448	10.345
9	14	4	3	4	24	25	4	4	3	2	535	0.327	9.15	44.053	49.02	0.327	41.503	21.242	3.268	0.817	0.327	11.601	2.778	88.489	0.719	10.791
6	11	15	1	3	15	10	0	2	3	2	401	0.559	7.263	39.679	47.486	0.372	34.823	23.091	6.89	0.559	0.559	14.153	3.352	84.091	3.030	12.879
1	2	2	8	2	7	3	0	0	1	0	68	0	19.737	41.026	48.684	0	30.263	25	6.579	1.316	2.632	19.737	5.263	78.125	3.125	18.750
12	13	6	4	4	23	4	1	0	0	8	499	0.646	9.532	39.868	46.85	0	36.187	19.548	6.139	1.131	0.323	15.832	4.039	84.752	1.418	13.830
1	1	0	3	1	5	2	0	0	0	3	86	0	22	49.67	51	0	38	20	0	0	0	10	2	82.759	0.000	17.241
0	2	2	1	3	9	7	5	3	3	5	223	2.247	4.494	40.155	46.816	0.749	34.831	23.596	6.742	0.749	0.375	14.232	3.371	87.597	3.876	8.527
1	0	1	3	0	6	0	1	0	1	3	136	0	4.324	39.287	41.622	0	32.973	18.919	4.865	1.081	1.081	12.973	4.324	77.333	5.333	17.333
4	3	3	0	0	0	2	0	1	3	1	89	0	16.379	42.146	51.724	0	38.793	12.931	2.586	1.724	0	7.759	3.448	74.286	8.571	17.143
16	17	26	5	0	15	5	1	3	4	11	611	1.087	14.538	41.191	50.272	0.543	37.364	18.886	3.533	0.408	0.408	14.81	6.114	85.512	2.120	12.367
0	6	3	2	0	3	1	5	0	2	2	117	1.205	15.663	42.274	45.181	0	31.325	20.482	7.229	0	0.602	16.265	2.41	85.246	3.279	11.475
3	3	2	2	2	0	3	0	0	0	0	96	0	19.266	36.674	45.872	0	42.202	13.761	5.505	0	0	20.183	5.505	73.469	8.163	18.367
7	9	8	0	1	11	9	2	7	2	6	266	4.023	5.172	40.546	45.977	0	36.782	23.851	3.161	1.149	0.287	14.943	4.023	83.544	2.532	13.924
3	3	4	6	0	3	0	0	0	2	0	128	0.637	20.382	37.115	44.586	1.274	25.478	21.019	7.006	0	1.274	15.287	5.732	89.091	0.000	10.909
0	5	6	0	0	4	2	0	2	0	1	91	0	17.925	45.509	42.453	2.83	34.906	25.472	12.264	0	0.943	10.377	3.774	80.851	0.000	19.149
1	1	3	0	1	1	7	1	0	2	3	70	0	16.304	46.033	42.391	2.174	31.522	28.261	7.609	1.087	1.087	4.348	4.348	77.143	0.000	22.857
4	4	2	5	0	5	2	0	0	2	2	130	0	15.436	41.332	44.295	0	37.584	14.094	0.671	0	0.671	19.463	6.711	82.759	6.897	10.345
6	1	5	13	2	4	1	0	4	1	9	244	0.862	34.195	36.399	39.943	0.575	31.609	18.103	7.184	1.437	0.575	18.678	7.759	82.353	5.147	12.500
1	6	0	0	1	2	0	0	0	0	1	95	0	12	48.43	45	0	37	21	3	0	1	10	5	63.889	2.778	33.333
3	3	6	2	1	3	4	1	0	0	7	66	0	12.941	39.853	49.412	0	28.235	24.706	4.706	0	0	20	4.706	86.111	2.778	11.111
6	7	3	4	3	25	4	1	1	1	6	319	0	6.374	36.642	42.637	0.22	26.154	23.956	6.374	0.879	0.44	17.143	3.516	80.723	4.217	15.060
16	31	9	0	1	10	3	1	5	3	7	297	0.867	7.514	40.837	39.306	0.289	39.306	15.607	2.023	0.289	0.867	17.63	3.468	87.333	1.333	11.333
9	3	4	2	6	10	6	0	0	2	5	199	0.446	7.589	42.096	46.429	0.446	32.589	22.768	7.143	0.446	0.446	15.179	3.571	86.139	1.980	11.881
0	1	2	0	0	0	1	2	0	0	3	55	0	14.516	46.855	53.226	0	41.935	16.129	4.839	0	0	9.677	6.452	66.667	0.000	33.333
2	4	11	7	6	15	2	1	1	1	2	233	0	9.635	41.022	51.163	0.332	33.887	21.262	6.645	0.664	0.997	18.605	4.651	86.842	0.000	13.158
