KSCM	CSSD	TOP	KDU	Pirati	ANO	ODS	SZ	Svob	Usvit	Ostatni	Nevolici	mimo_byty	verici	vek_prumer	vdani	vzdelani_zakladni	vzdelani_stredni	vzdelani_maturita	vzdelani_vysoka	prac_studenti	nikdy_nezamestnani	studenti	nezamestnani	zamestnani	podnikatele	osvc
12	43	36	74	14	66	17	5	23	14	17	1627	0.576	28.1	42.785	48.927	0.209	31.711	23.914	9.524	0.576	0.576	14.914	3.977	76.220	5.732	18.049
14	25	22	13	6	12	6	1	8	5	12	958	0.586	13.975	42.829	43.096	0.586	33.389	19.247	4.351	0.418	0.921	13.724	7.197	82.258	2.995	14.747
33	65	11	40	5	46	23	6	1	8	5	1325	0	18.454	41.116	47.823	0.195	35.218	21.897	7.083	0.585	0.845	15.789	4.224	84.380	4.594	11.026
23	63	16	58	13	37	15	6	4	5	11	1629	0.973	28.418	40.737	44.7	0.256	33.282	23.246	7.476	0.512	0.563	17.768	3.738	85.401	3.406	11.192
36	90	52	102	25	55	55	17	15	8	24	2272	0.408	20.015	41.947	51.987	0.334	25.139	22.651	17.156	0.631	0.743	16.302	3.825	80.570	6.239	13.191
1387	2316	2406	1608	783	2610	1158	682	770	428	1211	80667	0.626	14.875	41.176	39.524	0.243	22.941	26.239	17.868	0.847	0.827	13.922	5.091	83.839	3.930	12.231
28	36	24	23	4	34	12	8	9	14	15	1688	1.142	14.041	39.225	45.788	0.143	34.365	21.371	7.139	0.619	0.476	15.564	4.76	78.872	4.535	16.593
18	21	9	24	8	22	4	1	1	9	17	922	0.648	19.352	42.091	49.352	0.278	37.315	17.13	6.389	0.926	0.556	13.426	4.722	87.692	2.418	9.890
12	10	8	10	1	10	3	2	2	8	8	485	0.503	19.263	40.435	47.906	0.168	35.176	20.268	6.868	0.503	0.168	14.908	3.853	85.433	1.575	12.992
30	28	40	50	7	63	13	17	12	15	25	2075	0.359	17.351	39.953	47.068	0.12	27.323	25.888	11.607	0.319	0.758	16.633	4.268	85.765	3.581	10.654
24	36	25	36	7	32	5	8	13	3	31	1271	1.133	19.454	41.618	45.037	0.133	34.31	21.586	9.061	0.333	1.066	14.79	6.196	82.686	3.074	14.239
18	15	9	2	4	23	15	1	1	7	6	604	0.27	10.541	39.486	43.649	0.27	32.568	21.757	7.027	0.405	0.946	13.649	4.595	79.233	4.792	15.974
44	36	19	17	6	25	21	6	8	9	27	1568	0.589	10.493	40.352	44.7	0.589	33.887	19.325	6.21	0.535	1.445	15.203	5.996	85.180	2.216	12.604
31	51	66	35	31	70	25	12	17	16	37	2056	1.865	15.159	38.896	47.579	0.198	26.071	21.111	13.611	0.556	0.556	16.389	3.373	78.857	5.445	15.699
37	43	20	33	10	31	16	6	8	14	13	1398	1.474	18.857	41.67	47.113	0	37.469	20.7	5.528	0.491	0.43	15.909	5.467	85.239	3.763	10.999
19	32	8	36	5	31	7	6	6	7	22	1250	0.198	15.71	40.141	48.779	0.264	34.455	21.98	6.931	0.396	0.99	15.71	5.743	83.717	2.303	13.980
13	25	23	12	11	27	5	6	7	7	7	1206	0.355	15.625	41.127	46.733	0.213	31.321	23.295	9.02	0.426	0.497	12.642	3.551	83.306	4.862	11.831
69	104	34	41	23	60	26	14	15	14	45	3526	3.375	10.731	41.982	42.632	0.486	34.086	20.539	5.875	0.583	0.728	13.547	5.05	91.209	1.770	7.021
13	22	19	14	8	33	21	9	11	4	25	1295	0.256	12.86	37.922	45.361	0.448	29.431	20.218	11.196	0.576	0.704	17.338	4.095	83.501	5.165	11.334
0	4	11	18	4	13	5	3	8	8	6	495	0.345	18.793	39.398	40.69	1.034	33.276	19.655	5.345	0.69	1.207	15.172	7.931	80.645	5.530	13.825
30	42	26	39	8	64	13	10	5	15	21	1874	0.171	12.928	40.748	45.548	0.171	31.036	24.401	8.647	0.813	0.813	13.271	6.764	83.733	4.275	11.992
19	16	6	24	3	14	8	3	10	8	10	599	1.693	25.247	40.717	46.827	0.423	33.004	21.58	7.616	0.282	0.705	14.951	5.924	79.286	3.929	16.786
12	15	16	3	4	4	3	5	2	2	1	465	2.131	10.302	39.441	42.451	0.533	39.076	15.986	4.44	0.71	0.355	13.321	5.506	82.110	3.670	14.220
20	15	14	27	7	17	8	9	3	6	10	685	0.365	22.384	40.789	49.148	0.487	31.022	22.871	8.394	0.608	0.608	14.477	4.501	81.250	3.869	14.881
1	5	2	1	0	4	0	0	1	0	2	145	0	12.644	46.835	42.529	0.575	37.931	16.092	5.172	0.575	0	6.897	4.598	91.228	1.754	7.018
191	233	116	144	52	203	78	24	34	65	101	8043	0.607	15.578	41.412	43.729	0.34	32.143	23.747	8.324	0.556	0.72	14.981	5.114	84.630	3.283	12.087
20	14	12	31	3	15	4	0	8	1	6	684	0.375	23.375	43.606	45.5	0.625	34.625	20.625	7.375	0.5	0.5	13.625	5.75	86.333	2.000	11.667
45	94	45	40	12	67	23	21	9	23	23	2619	0.258	15.823	39.897	44.054	0.193	31.647	24.299	9.281	0.483	0.516	14.953	4.351	90.915	1.761	7.324
12	26	8	22	24	17	5	4	7	12	11	951	0.636	15.273	39.307	46.091	0.364	31.818	24.273	6.909	0.273	0.545	16.909	4.364	84.681	2.340	12.979
35	7	11	2	0	8	0	0	1	7	6	426	3.074	2.254	38.088	32.992	0.615	31.352	14.959	3.074	0.82	1.434	11.68	7.992	88.718	2.564	8.718
17	28	12	6	6	20	3	3	1	11	20	807	0.296	6.917	35.521	33.992	0.395	33.004	19.071	3.557	0.198	0.988	19.466	9.289	93.765	0.000	6.235
13	16	13	7	6	9	2	0	2	5	4	637	2.18	16.757	42.413	38.283	0.409	30.381	17.847	4.768	0.545	1.771	14.714	6.267	85.603	3.113	11.284
6	6	5	5	0	11	0	1	0	0	8	286	1.393	7.521	39.556	48.189	0.557	36.769	16.992	6.964	0.836	0.836	14.763	6.128	82.781	3.974	13.245
43	32	31	46	4	34	6	0	7	7	17	1200	0.069	17.598	39.761	47.274	0.828	32.022	20.359	7.453	0.552	0.69	15.045	5.383	85.435	2.487	12.078
32	30	31	48	19	43	25	10	9	6	16	1650	0.765	23.508	42.368	46.354	0.153	34.523	22.54	8.72	0.663	0.663	14.38	4.539	83.313	3.386	13.301
10	25	13	18	10	14	4	3	3	9	18	1026	1.529	12.711	38.664	40.869	0.08	32.582	20.274	4.344	0.483	0.724	15.688	5.792	84.496	3.488	12.016
1	5	12	2	1	9	2	2	2	3	4	208	0	11.157	38.266	44.215	0	34.711	16.529	5.372	0.413	0.413	16.942	2.893	84.091	2.273	13.636
4	13	6	5	2	12	1	1	4	2	7	240	0	9.489	43.074	50.73	0	38.686	20.438	4.745	0.73	0.365	15.328	3.65	86.207	1.724	12.069
1	5	2	2	0	7	3	1	2	3	5	130	0	13.333	42.955	44.242	0.606	33.333	24.242	6.667	0.606	1.818	9.697	6.667	67.692	9.231	23.077
14	8	8	5	2	8	7	2	5	2	5	346	0.969	12.349	41.803	50.363	0.484	38.499	24.213	6.538	0.242	0.242	13.317	4.116	82.036	4.790	13.174
25	36	18	12	6	33	6	3	1	12	14	1020	0.908	13.625	41.209	43.931	0.33	33.691	21.718	7.927	0.743	0.743	14.533	4.872	85.887	3.024	11.089
6	2	2	1	2	3	1	1	1	1	5	144	0.535	8.556	40.174	48.128	0.535	42.781	14.973	2.674	0.535	0.535	19.251	3.743	78.378	1.351	20.270
55	40	43	54	7	44	15	6	3	7	26	1485	0.282	26.494	41.539	49.154	0.113	37.486	20.97	5.975	0.564	0.733	16.516	4.679	86.193	3.485	10.322
0	3	9	9	1	7	2	2	0	0	2	155	3.804	20.109	41.022	49.457	0.543	41.848	14.13	6.522	0	0	15.761	5.435	79.730	0.000	20.270
22	42	17	22	7	35	18	5	10	9	26	1277	0.461	18.194	41.689	46.737	0.264	32.169	24.192	10.613	0.923	0.461	14.568	3.889	84.000	4.444	11.556
17	27	11	9	6	25	11	5	4	3	5	1269	0.296	11.591	36.7	42.105	0.237	32.939	20.166	4.849	0.473	0.887	17.031	6.623	86.328	3.657	10.016
40	63	33	66	17	58	11	13	14	12	42	2783	0.244	14.783	40.75	45.174	0.489	32.926	22.144	6.903	0.519	1.038	14.875	5.681	86.518	2.740	10.743
190	329	155	180	70	258	108	43	72	95	120	11134	1.061	12.303	42.22	41.815	1.392	29.041	23.177	9.356	0.545	0.707	13.673	4.87	83.509	3.287	13.204
29	24	13	16	5	28	23	2	2	6	13	1358	0.12	14.363	40.721	46.935	0.18	35.577	20.974	6.07	0.541	0.721	15.385	5.709	89.226	2.580	8.194
10	17	23	58	10	28	16	3	16	5	8	1059	0.38	23.538	40.327	45.634	0.607	30.6	23.007	9.415	0.304	1.063	15.186	4.328	86.691	3.512	9.797
41	41	24	43	16	52	20	2	6	15	24	1520	0.38	17.554	39.862	46.685	0.598	34.022	20.707	6.576	0.543	0.815	16.793	5.435	84.543	2.285	13.172
21	42	16	32	9	43	8	8	8	8	14	1305	1.015	19.162	40.531	46.51	0.254	30.14	24.937	8.122	0.571	0.698	14.657	4.949	84.000	4.000	12.000
13	22	8	4	0	12	1	0	0	0	7	296	0	17.746	44.384	46.761	0.282	42.254	20.845	3.099	0	0.563	7.887	5.915	86.301	2.055	11.644
22	41	9	16	5	38	1	5	3	8	9	1126	0.373	13.87	40.799	44.668	0.895	34.079	16.853	3.878	0.298	0.447	14.541	4.474	87.917	3.125	8.958
5	6	9	5	4	36	6	4	4	0	7	280	0	6.607	42.86	46.547	0.901	30.33	23.123	6.607	0.601	0.601	13.514	4.805	79.021	7.692	13.287
195	345	123	157	67	235	135	36	57	51	102	9628	0.669	12.188	41.543	42.86	0.283	30.895	23.716	7.436	0.455	1.021	14.487	6.424	84.933	3.669	11.398
60	83	95	88	31	142	47	58	22	34	70	2457	0.393	16.181	39.883	45.365	0.197	26.4	26.236	12.905	0.459	1.015	14.936	4.52	81.163	5.298	13.539
27	58	23	60	29	69	7	15	12	11	32	2164	0.82	18.281	38.252	46.641	0.469	30.234	22.93	9.258	0.898	0.82	15.273	4.492	83.922	4.152	11.926
11	17	17	12	5	32	8	3	3	7	13	1006	0.698	13.101	39.741	45.116	0.31	30.388	23.721	10.233	0.698	0.233	15.736	4.109	84.922	4.159	10.919
9	12	28	5	3	24	10	3	4	4	19	519	2.398	6.595	39.122	45.324	0.6	29.257	21.103	5.276	0.36	0.48	12.59	2.758	81.471	2.941	15.588
7	13	6	25	1	2	1	0	4	4	8	363	0	29.33	41.08	45.266	0	33.025	28.176	5.774	0.462	0.462	15.473	3.233	83.420	2.073	14.508
4	31	19	64	12	32	14	1	8	7	8	1333	0.432	55.953	39.336	49.784	0.308	33.868	20.975	6.663	0.555	0.864	16.595	3.578	84.273	3.412	12.315
31	87	54	77	38	61	41	4	11	13	37	3533	0.023	46.694	39.542	50.311	0.346	34.462	19.834	7.233	0.53	0.691	14.582	4.861	83.753	3.040	13.208
16	36	8	6	7	25	13	4	6	11	12	1214	0.91	11.127	39.467	47.096	0.42	39.748	18.544	5.178	1.05	0.63	14.836	6.088	84.155	3.873	11.972
22	32	11	53	5	28	5	2	4	4	35	1076	0.375	40.96	38.609	49.737	0.375	33.908	18.23	6.002	0.375	0.9	16.054	4.276	88.380	2.113	9.507
70	49	25	30	13	26	22	2	12	18	39	2389	0.953	11.947	41.647	39.755	1.089	33.799	16.474	3.914	0.408	1.804	15.317	8.679	85.979	2.371	11.649
0	7	17	1	3	13	2	0	3	0	7	166	4.663	3.109	38.951	37.306	1.036	23.834	26.425	17.098	0.518	2.073	15.544	6.218	62.651	10.843	26.506
5	11	12	0	5	25	3	0	3	2	8	283	6.918	6.604	42.698	43.396	0.629	29.245	25.472	9.434	0.943	0.314	13.208	5.031	75.781	5.469	18.750
17	7	2	0	1	1	3	0	2	0	4	132	0.662	1.325	41.86	35.099	1.987	26.49	9.934	2.649	0.662	0.662	15.894	9.934	91.667	2.778	5.556
20	3	3	0	0	4	1	0	0	1	2	216	0.847	4.237	41.669	41.102	0	51.271	10.169	1.271	0	0.847	14.831	4.237	90.654	0.000	9.346
0	2	3	26	0	7	5	2	1	0	5	216	0.373	33.955	36.088	51.119	0	29.478	19.776	5.597	1.493	0	15.672	3.731	80.702	4.386	14.912
31	115	37	66	11	62	38	11	23	12	30	3417	0.121	40.281	40.496	47.809	0.412	34.423	21.254	7.311	0.581	0.726	15.686	4.987	87.138	2.723	10.139
23	34	16	37	10	38	44	5	8	6	15	1161	1.964	22.182	41.481	52.582	0.218	24.436	26.327	16.145	0.582	0.509	17.091	3.782	83.420	5.181	11.399
6	2	6	2	0	4	0	0	0	1	2	164	6.522	11.413	44.141	47.283	0.543	39.13	18.478	4.891	0	0	10.326	2.717	80.556	6.944	12.500
22	32	17	45	7	32	21	15	9	21	18	1305	1.649	21.136	42.647	44.594	3.543	30.971	21.258	9.652	0.428	0.794	13.195	5.681	76.871	6.463	16.667
93	123	59	59	29	77	50	15	7	11	45	2733	0.739	19.945	43.182	47.953	0.185	25.546	25.146	14.805	0.462	0.769	15.143	3.786	86.010	3.405	10.585
7	8	0	0	2	9	5	0	1	2	8	205	6.522	14.348	45.183	54.783	0	38.696	21.304	12.609	0.435	0	11.304	4.783	76.238	3.960	19.802
15	14	5	6	3	15	4	2	3	6	8	409	0.202	21.616	40.866	45.455	0.202	26.667	25.253	10.101	0.404	0.404	14.343	5.253	81.443	4.639	13.918
165	364	121	237	63	242	140	36	58	70	102	11505	0.266	26.356	41.576	45.419	0.841	31.666	20.349	9.14	0.611	0.762	14.313	5.051	83.386	4.528	12.086
20	67	11	39	4	35	18	0	2	10	23	1655	2.111	44.271	41.791	49.246	0.704	29.698	22.965	7.789	0.754	0.955	14.975	4.02	88.220	2.749	9.031
5	9	20	45	4	23	13	3	7	5	5	823	0	56.1	39.848	49.8	0.3	38.1	20.4	7.2	1.1	0.2	15.9	4.3	81.614	4.709	13.677
20	40	13	9	5	45	16	2	6	9	22	1107	0.531	20.713	40.029	46.51	0.379	37.785	19.499	6.449	0.91	0.759	16.161	5.539	86.111	2.222	11.667
6	50	22	23	7	23	6	0	6	2	12	750	2.119	15.338	39.118	41.776	10.494	27.144	18.567	9.183	0.101	0.505	14.632	5.247	80.508	4.802	14.689
16	35	18	34	4	7	13	2	5	6	11	1005	3.36	46.8	43.528	45.04	0.88	28.32	23.84	9.28	0.4	0.72	14.08	3.52	79.916	5.230	14.854
26	52	15	34	9	40	21	5	4	13	21	959	1.083	21.917	45.728	42.083	0.333	30.25	20.083	9.667	0.5	0.5	9.333	3.917	85.965	1.535	12.500
82	138	60	175	39	128	64	21	25	29	60	4388	1.041	23.17	40.336	48.012	0.204	30.583	22.52	9.941	0.632	0.372	16.091	3.66	84.724	3.380	11.896
17	26	20	28	1	17	9	2	7	7	10	910	0.224	43.177	41.866	48.62	0.373	34.601	21.477	8.799	0.298	0.671	13.274	4.996	88.434	1.957	9.609
21	30	2	10	1	21	10	4	1	5	11	836	3.621	16.342	40.98	38.533	5.292	33.148	15.97	2.228	0.464	1.671	12.163	7.614	86.018	1.824	12.158
46	51	27	41	10	38	35	4	13	9	38	1518	1.266	23.84	41.347	46.308	0.211	30.485	22.099	10.232	0.633	0.527	15.876	4.219	83.133	3.748	13.119
3	8	2	8	0	6	4	0	1	0	2	294	5.085	43.503	39.551	47.74	0.847	30.791	20.621	6.215	0	1.13	14.689	4.52	83.893	4.027	12.081
19	52	19	79	12	41	17	8	29	15	22	2646	0.652	55.462	38.932	51.117	0.341	35.847	18.653	7.418	0.621	0.59	16.511	5.866	82.731	3.838	13.432
5	24	2	34	5	12	7	0	5	2	17	1054	0.549	54.196	40.068	50.353	0.706	32.392	19.373	5.725	0.314	0.784	17.02	3.843	91.961	1.765	6.275
29	102	67	137	34	87	63	11	14	21	48	5410	0.259	44.49	40.331	48.782	0.426	36.971	19.254	6.925	0.822	1.142	15.068	6.393	80.135	5.088	14.777
2	4	1	3	0	7	4	0	0	0	6	66	0	20.253	42.741	41.772	0	34.177	20.253	1.266	0	0	12.658	1.266	75.862	0.000	24.138
8	10	6	4	1	6	4	2	0	0	2	166	0	17.68	44.367	45.304	0.552	39.779	17.68	8.84	1.657	0	12.707	4.42	75.342	5.479	19.178
0	3	2	1	0	3	3	0	0	2	0	63	0	12.903	46.468	59.677	0	29.032	37.097	6.452	0	0	3.226	8.065	90.323	3.226	6.452
0	3	4	1	1	4	4	0	0	0	2	60	0	20	45.8	54.286	0	45.714	15.714	2.857	1.429	0	10	2.857	75.862	0.000	24.138
3	1	3	0	0	7	0	0	1	3	2	92	0	8.871	38.347	42.742	0	36.29	22.581	4.032	0	0	12.903	0	77.049	4.918	18.033
6	10	0	6	7	4	0	2	2	1	4	339	0.493	12.808	38.135	45.32	0.493	40.394	14.286	2.956	0.493	0.493	14.039	5.172	85.366	1.220	13.415
0	1	4	6	0	3	2	0	0	1	1	117	0	29.63	49.107	51.852	0	40	16.296	7.407	0	0.741	9.63	2.963	94.828	3.448	1.724
4	14	3	0	2	4	0	1	0	0	2	164	0	7.027	45.143	54.595	1.622	32.432	18.378	8.108	0.541	0	10.811	4.324	71.875	3.125	25.000
20	15	9	28	1	18	13	3	0	3	7	691	1.34	20.341	38.857	45.92	0.122	33.861	20.706	6.334	0.609	0.487	17.052	4.263	88.750	1.875	9.375
35	129	39	91	19	98	81	12	12	19	39	3913	0.151	34.817	42.334	49.011	0.366	31.677	21.806	9.398	0.667	0.688	14.194	4.645	81.892	5.544	12.564
0	4	6	5	4	0	3	1	0	0	3	168	0	10.096	37.827	38.942	0	34.615	19.231	6.25	1.442	0.962	11.058	6.731	72.727	0.000	27.273
17	44	13	40	4	27	22	2	2	10	10	1560	0.329	39.047	40.018	47.59	0.712	32.366	21.742	6.955	0.602	0.602	16.648	4.491	82.513	5.311	12.176
12	18	2	5	2	19	2	0	0	1	13	505	4.475	18.519	40.342	37.191	1.235	35.494	15.123	3.395	0.309	0.463	17.284	4.784	89.565	0.000	10.435
6	14	10	7	4	11	3	0	1	5	2	492	0.358	11.091	40.545	39.356	0.537	35.063	17.352	2.683	0.179	1.61	13.953	5.546	91.463	0.813	7.724
0	8	7	18	1	6	0	0	2	1	4	155	4.094	36.257	40.757	44.444	0	40.936	16.959	6.433	0	0	13.45	10.526	92.647	0.000	7.353
18	35	21	37	10	26	28	2	8	3	12	902	0.184	28.269	40.403	49.632	0.092	30.755	24.309	12.155	0.276	0.368	15.378	2.67	84.569	4.208	11.222
10	2	12	3	3	13	1	4	1	0	5	319	0.478	11.244	40.079	44.976	0.239	28.708	22.488	7.177	0.478	0.957	15.072	4.067	83.626	4.094	12.281
0	0	5	4	0	4	2	1	0	0	2	61	0	22.222	45	36.111	0	33.333	20.833	8.333	0	0	13.889	5.556	65.517	3.448	31.034
9	17	20	2	3	9	2	1	4	2	4	377	0.227	8.39	41.834	43.537	0.454	34.014	24.263	4.762	0.68	0.68	16.78	7.256	78.191	2.660	19.149
7	6	5	0	0	7	6	0	4	1	3	246	0	17.869	41.641	48.11	0	34.364	22.68	5.498	0	0.687	16.495	4.124	84.034	3.361	12.605
4	5	0	9	0	4	1	0	0	3	8	166	0	35.319	39.44	47.234	0.426	35.745	19.574	6.383	0	0.426	14.894	5.532	87.129	2.970	9.901
8	7	2	7	2	7	5	0	3	2	8	270	0.301	20.783	40.937	45.783	0.301	34.337	22.59	5.723	0.904	1.506	11.446	5.12	87.117	0.613	12.270
7	3	5	1	3	6	1	0	2	2	2	163	0.588	6.471	41.347	40.588	0.588	42.941	17.059	2.941	0.588	0	11.765	5.882	77.465	2.817	19.718
0	6	2	2	2	3	0	0	3	0	2	74	0	31.818	43.602	54.545	0	39.773	18.182	11.364	0	0	13.636	4.545	85.000	5.000	10.000
2	5	3	2	1	10	0	0	6	2	7	87	0	14.851	39.876	51.485	0	27.723	18.812	8.911	0	0	19.802	6.931	76.316	2.632	21.053
5	18	13	15	6	14	8	2	2	8	5	1082	0.229	43.783	39.083	47.216	0.305	35.164	17.391	5.645	0.763	1.144	16.476	4.653	82.528	2.788	14.684
9	21	14	20	7	35	11	4	12	8	15	1113	0.229	19.985	39.995	48.665	0.381	34.325	24.333	8.009	1.144	0.61	14.264	3.738	81.786	3.678	14.536
21	12	11	4	4	9	3	0	1	2	9	409	2.616	11.871	40.955	42.857	0.201	29.376	23.34	5.03	0.402	0.604	15.694	4.628	81.143	4.571	14.286
17	61	18	39	8	39	24	11	7	8	28	1736	0.386	46.087	41.177	49.034	0.29	35.459	18.068	6.135	0.773	0.58	15.072	3.575	83.520	4.036	12.444
17	47	36	50	3	27	10	4	3	4	6	1160	0.139	27.311	40.76	48.784	0.347	30.368	21.821	10.354	0.486	0.834	17.304	4.239	87.053	4.259	8.688
0	1	4	7	0	3	1	0	3	1	14	84	0	25.743	46.153	54.455	0.99	31.683	24.752	8.911	0	1.98	9.901	4.95	84.444	0.000	15.556
12	24	9	9	3	17	7	1	3	6	9	786	0.212	18.028	39.844	47.084	0.318	28.208	24.39	9.65	1.166	0.636	17.285	3.712	82.415	5.249	12.336
0	2	3	10	4	5	1	2	2	0	6	163	0	17.791	46.469	47.853	0	35.583	17.791	7.975	0	1.227	11.043	6.135	81.250	1.563	17.188
3	14	22	18	0	13	7	7	2	1	5	799	0.102	32.48	40.33	49.18	0.102	34.836	20.492	7.889	0.205	0.82	14.139	3.893	83.592	2.217	14.191
37	42	22	57	5	29	22	7	7	7	14	1511	0.876	24.918	39.091	47.645	0.274	32.037	21.194	8.762	0.767	0.602	16.484	3.45	84.805	3.247	11.948
14	15	7	6	7	7	5	0	0	8	6	686	0.127	41.772	38.741	48.228	0.506	37.848	21.013	5.063	0.633	1.519	14.937	5.443	86.022	1.882	12.097
21	23	18	78	5	38	11	2	6	10	22	1127	0.368	35.225	39.533	48.195	0.368	32.867	24.613	6.411	0.516	0.516	17.391	5.306	84.815	3.889	11.296
7	18	5	12	6	12	11	0	2	1	9	527	0.78	47.582	39.561	43.214	0.468	38.222	17.317	4.524	0.78	0.936	16.225	5.772	77.122	1.845	21.033
8	24	11	42	8	18	14	1	7	2	8	1261	1.187	37.726	40.117	47.22	0.562	33.229	17.364	7.933	0.75	1.249	15.303	5.309	82.051	4.072	13.876
11	51	26	94	15	50	22	3	8	13	22	2520	0.163	52.092	39.341	50.621	0.261	35.915	19.379	6.209	0.425	0.85	15.817	5.327	86.497	2.623	10.880
16	43	12	17	6	19	18	6	4	4	9	997	0.169	23.878	40.228	48.349	0.085	29.636	24.217	10.5	0.847	1.101	13.717	5.419	83.299	5.155	11.546
9	2	3	11	1	7	0	3	2	3	4	231	0	38.298	39.738	49.645	1.064	27.66	20.213	5.674	0	2.128	19.504	7.092	87.255	1.961	10.784
1	7	3	7	0	6	7	0	0	0	3	66	0	43.662	43.739	45.07	0	30.986	16.901	2.817	0	1.408	21.127	5.634	70.588	11.765	17.647
65	50	56	21	15	50	33	14	13	10	31	1535	0.913	18.377	39.855	50.081	0.215	25.524	23.804	14.508	0.913	0.645	14.24	4.03	80.500	4.750	14.750
28	46	21	19	3	24	15	0	7	6	18	1287	0.124	14.898	40.066	44.01	0.807	35.63	15.705	4.904	0.621	1.241	16.946	7.2	82.487	2.277	15.236
9	31	24	53	13	40	24	7	10	6	21	1481	0.171	42.654	39.345	47.096	0.399	33.428	20.159	7.745	1.139	0.797	15.433	4.727	78.283	5.202	16.515
1	6	1	6	1	6	3	0	0	7	11	285	0	42.687	42.452	50.448	0.299	39.403	17.015	7.164	0.299	1.493	16.119	6.269	82.946	3.101	13.953
108	119	30	48	20	119	39	4	20	19	85	4857	1.22	13.164	41.866	39.423	0.722	31.689	18.835	6.822	0.481	1.426	13.593	7.046	86.598	3.843	9.560
2	8	0	11	0	2	1	0	0	1	3	206	0	40.851	43.347	48.511	0	42.979	19.149	4.681	1.702	1.277	12.766	5.532	87.879	0.000	12.121
5	11	10	6	4	8	2	3	6	2	2	403	0	25.859	38.593	49.293	0	31.717	21.616	9.495	0.404	0.606	20	5.455	79.452	5.479	15.068
10	10	3	10	2	8	2	1	2	1	2	317	0	28.415	39.495	46.448	1.093	34.153	25.956	7.923	0.273	1.093	17.486	9.29	83.766	0.649	15.584
1	4	4	17	3	4	1	0	0	0	3	89	0	55.752	42.188	43.363	0	40.708	14.159	4.425	2.655	0	22.124	5.31	85.000	0.000	15.000
818	1079	553	539	257	1180	424	136	297	211	621	36771	1.159	14.362	42.46	42.508	0.277	27.894	26.704	11.082	0.638	1.102	13.699	5.915	86.294	3.316	10.390
1	8	2	9	0	3	0	1	0	1	1	83	0	55.769	41.76	52.885	0	40.385	14.423	7.692	0.962	0	15.385	6.731	95.122	2.439	2.439
4	7	1	0	1	15	3	0	2	7	9	291	2.924	8.187	40.115	43.275	0	30.117	19.883	4.678	0.877	1.17	15.205	4.678	88.406	1.449	10.145
1	8	1	18	5	6	3	0	0	2	4	348	1.643	60.329	38.089	47.653	0.704	30.516	20.188	5.399	0.235	0.939	19.249	3.991	83.030	4.848	12.121
3	15	7	104	1	6	18	1	3	6	8	1076	0.747	60.194	37.095	44.586	0.448	32.86	18.447	3.883	0.373	0.896	18.895	3.51	91.031	2.290	6.679
5	11	3	35	3	12	4	0	1	3	3	666	2.61	54.33	40.425	48.28	0.474	29.3	20.996	7.711	0.474	1.186	16.251	4.745	83.483	5.105	11.411
1	8	0	7	0	0	4	2	0	1	2	274	0.568	66.193	39.163	36.08	0.852	33.523	17.33	2.841	0.284	1.989	17.045	9.375	87.597	2.326	10.078
6	46	4	55	2	15	10	3	2	4	9	1435	0.854	54.468	38.2	47.069	0.398	34.149	20.034	4.952	0.512	0.911	17.758	4.667	87.326	2.646	10.028
10	45	20	27	2	16	14	1	5	10	29	1447	0.17	46.889	40.238	49.095	0.057	29.072	23.812	8.767	0.396	0.848	17.421	3.111	88.859	3.979	7.162
31	68	16	61	11	33	19	6	12	10	11	1388	1.62	22.43	41.477	47.414	0.249	30.903	23.738	10.53	0.498	1.184	14.081	5.109	82.389	5.054	12.557
0	25	7	44	7	11	7	0	1	7	7	601	0.15	32.234	38.974	45.577	0.3	32.534	23.238	9.445	0.3	0.6	16.342	4.798	85.714	4.643	9.643
15	29	10	28	3	41	20	3	6	6	21	1395	1.247	18.537	37.641	41.667	0.51	32.823	18.764	5.045	0.283	1.984	17.63	7.2	84.074	2.603	13.323
12	11	4	15	5	21	4	0	8	5	10	575	0.444	25.333	42.665	49.778	0.296	41.037	20.593	4.741	0	0.889	13.333	6.519	86.397	3.309	10.294
11	4	5	10	1	5	2	0	2	1	4	156	0	29.101	40.69	46.561	1.058	31.217	17.989	10.582	0	1.058	17.989	2.646	85.333	4.000	10.667
12	13	9	20	2	16	5	0	7	4	8	797	0.512	21.494	41.318	46.264	0.205	33.879	25.384	4.708	0.409	1.228	16.274	5.322	86.126	1.832	12.042
8	22	8	30	2	6	10	2	9	3	11	703	0.12	45.324	41.39	49.52	0.24	33.813	20.264	7.674	0.719	0.719	17.386	4.077	91.365	1.671	6.964
47	49	17	38	21	44	10	7	12	12	28	1661	0.594	15.8	40.809	43.239	0.248	31.451	23.378	8.47	0.446	0.892	16.989	6.538	86.386	3.012	10.602
6	1	5	2	0	7	3	1	0	2	2	292	0	17.201	42.296	51.312	0	37.318	18.367	7.289	0	0.583	17.493	8.163	86.466	3.008	10.526
6	15	6	39	1	7	7	1	1	1	12	725	0.109	56.304	37.612	47.283	0.652	34.891	16.087	5.435	0.652	1.087	18.587	5.435	84.824	1.626	13.550
7	11	2	11	1	12	0	1	1	5	4	306	0	36.598	38.371	50.258	0.515	36.082	19.33	4.124	1.031	0.258	14.433	4.897	79.114	5.696	15.190
4	2	4	1	0	3	4	0	1	3	6	189	0	22.927	43.549	44.39	0.976	34.146	17.073	2.927	0	0.976	11.22	9.268	88.732	4.225	7.042
